name,2020,2021,2022
Worcester,58,48,71
"Champaign, IL",70,61,70
Davis,107,95,110
"Charlottesville, Virginia",54,87,70
"Baltimore, MA",34,63,44
"Atlanta, GA",101,107,100
"Seattle, WA",88,96,87
"Houston, TX",80,53,33
Irvine,78,105,107
"Ann Arbor, MI",42,50,47
Chicago,85,104,85
"San Diego, CA",174,194,147
Las Vegas,2,2,3
"Minneapolis, MN",94,82,72
"Pittsburgh, PA",91,70,82
"State College, PA",55,33,27
"Santa Barbara, CA",48,31,57
"Ithaca, NY",64,40,30
Minneapolis,94,82,72
"Madison, WI",86,94,75
"Blacksburg, VA",32,53,51
"Providence, RI",50,55,78
"Austin, TX",79,83,59
New york city,80,81,51
Salt Lake City,1,16,25
"Philadelphia, PA",51,74,56
"Durham, NC",52,62,55
Boston,69,81,83
